# Time (ms);Voltage(0, T);Voltage(5, T);Voltage(10, T);Voltage(15, T);Voltage(20, T);Voltage(25, T);Voltage(30, T);Voltage(35, T);Voltage(40, T);Voltage(45, T);Voltage(50, T);Voltage(55, T);Voltage(60, T);Voltage(65, T);Voltage(70, T);Voltage(75, T);Voltage(80, T);Voltage(85, T);Voltage(90, T);Voltage(95, T);Voltage(100, T)
0.000000;-65.002;13.53352832366127;1.8315638888734185;0.24787521766663595;0.0335462627902512;0.004539992976248487;0.0006144212353328213;8.315287191035685e-05;1.125351747192592e-05;1.5229979744712643e-06;2.06115362243856e-07;2.7894680928689282e-08;3.775134544279102e-09;5.109089028063332e-10;6.914400106940213e-11;9.35762296884019e-12;1.2664165549094197e-12;1.7139084315420163e-13;2.319522830243574e-14;3.1391327920480356e-15;0.0
0.001000;-65.002;-9.182009777353375;1.0244536789428087;0.1348405994813076;0.014444561401390166;-0.0018492705127214793;-0.004054400869827538;-0.0043528328112801395;-0.004393221182603479;-0.004398687154275989;-0.004399426893100451;-0.004399527005863781;-0.004399540554652962;-0.0043995423882821835;-0.004399542636436913;-0.004399542670021003;-0.004399542674566116;-0.0043995426751812314;-0.004399542675264477;-0.004399542675275787;0.0
0.002000;-65.002;-4.642443673328061;-1.1328857132018015;0.0738145591672927;0.006183915988351664;-0.002968896261744604;-0.00420759470002292;-0.004375234304012066;-0.0043979218572996115;-0.004400992283749726;-0.0044014078207830105;-0.0044014640576051055;-0.004401471668431352;-0.004401472698444677;-0.004401472837841823;-0.004401472856707176;-0.004401472859260323;-0.0044014728596058535;-0.00440147285965262;-0.003954061740139214;0.0
0.003000;-65.002;-5.7854451993300025;-0.23851615415690672;-0.13400197581077172;0.0015424792850935543;-0.0035989734582748613;-0.004294793421546285;-0.0043889624133573125;-0.004401706800536163;-0.004403431565784691;-0.0044036649873781175;-0.004403696577555576;-0.00440370085282119;-0.004403701431415473;-0.004403701509719695;-0.004403701520317018;-0.004403701521751211;-0.004403701521945308;-0.0043582020860882115;-0.004047123300335863;0.0
0.004000;-65.002;-5.461942052246536;-0.557855978209326;-0.0012415236513171881;-0.018713375633853252;-0.003953887348605827;-0.0043447535802387735;-0.004397651572404447;-0.004404810537156836;-0.00440577939767928;-0.004405910518692503;-0.004405928263991966;-0.004405930665557094;-0.004405930990573592;-0.004405931034559792;-0.004405931040512676;-0.004405931041318312;-0.004401303980151068;-0.004378926056566454;-0.004026018485122731;0.0
0.005000;-65.002;-5.560238507312855;-0.44648637892633625;-0.0627900343586266;-0.0011294275368898532;-0.005948906105917058;-0.004373795923397448;-0.0044035105602912876;-0.004407531999091589;-0.004408076241650647;-0.004408149896871525;-0.0044081598650217045;-0.0044081612140641335;-0.004408161396637173;-0.0044081614213457455;-0.004408161424689689;-0.004407690876537874;-0.004406356566616543;-0.004374550072428045;-0.00403465049152391;0.0
0.006000;-65.002;-5.528915652695943;-0.48540301298002986;-0.037155827631644794;-0.01117130183957666;-0.0037599909530292904;-0.0045735975335714;-0.0044077801253671195;-0.004410039106876536;-0.0044103448267789405;-0.004410386201468524;-0.004410391800923857;-0.004410392558727731;-0.004410392661285332;-0.004410392675164994;-0.004410344824642958;-0.004410304869091393;-0.004407293933628055;-0.004379063458038723;-0.004034680645036194;0.0
0.007000;-65.002;-5.539248188351574;-0.4716950959447638;-0.04735236673323305;-0.006300967241688961;-0.005249101244931107;-0.004313011276034793;-0.004429717488918571;-0.00441242618455005;-0.00441259791800099;-0.004412621159596212;-0.0044126243050040875;-0.004412624730688752;-0.004412624788298907;-0.004412619929749785;-0.004412625603443503;-0.004412322669727816;-0.004410060308727364;-0.004380475839435701;-0.004037365783188686;0.0
0.008000;-65.002;-5.535753965091373;-0.47657399669975786;-0.043390719908955044;-0.008482478667783256;-0.004426574792130563;-0.004521928571837511;-0.004401229758592666;-0.004416633701613651;-0.004414842686928888;-0.004414855742536552;-0.004414857509420912;-0.004414857748542708;-0.0044148572860217;-0.004414858857375716;-0.0044148264021103755;-0.004414658542703271;-0.004412079440704314;-0.004382976012057808;-0.004039196256629193;0.0
0.009000;-65.002;-5.536963088746399;-0.47482533959714096;-0.04491698836743788;-0.007554340993454702;-0.004839252642724861;-0.004395112915753966;-0.004430933528279583;-0.004415342883212926;-0.004417275109493826;-0.004417090495825152;-0.004417091488345128;-0.004417091572341054;-0.0044170918505607466;-0.004417088183285018;-0.004417077875912514;-0.004416846446123928;-0.004414394443390891;-0.004385092828372919;-0.004041312110210371;0.0
